SUBJECT,TRIAL,TIMEBIN,PICTURE,PUPIL_SIZE_MEAN
1,1,-500,h,1390.01
1,1,0,h,1461.82
1,1,200,h,1193.55
1,1,400,h,1255.88
1,1,600,h,1317.58
1,1,800,h,1421.81
1,1,1000,h,1519.01
1,1,1200,h,1572.3
1,1,1400,h,1585.04
1,1,1600,h,1567.41
1,1,1800,h,1538
1,1,2000,h,1568.11
1,1,2200,h,1604.56
1,1,2400,h,1619.38
1,1,2600,h,1557.51
1,1,2800,h,1466.2
1,1,3000,h,1402.62
1,1,3200,h,1380.27
1,1,3400,h,1455.54
1,1,3600,h,1541.6
1,1,3800,h,1550.57
2,1,-500,h,1458.45
2,1,0,h,2003.7
2,1,200,h,1532.66
2,1,400,h,1515.69
2,1,600,h,1694.67
2,1,800,h,1908.94
2,1,1000,h,1937.72
2,1,1200,h,1798.12
2,1,1400,h,1832.28
2,1,1600,h,1883.68
2,1,1800,h,1887.46
2,1,2000,h,1976.89
2,1,2200,h,2087.84
2,1,2400,h,2203.99
2,1,2600,h,2274.93
2,1,2800,h,2197.82
2,1,3000,h,2132.2
2,1,3200,h,2188.06
2,1,3400,h,2337.03
2,1,3600,h,2476.45
2,1,3800,h,2503.67
3,1,-500,h,1404.19
3,1,0,h,1526.7
3,1,200,h,1329.17
3,1,400,h,1307.67
3,1,600,h,1371.03
3,1,800,h,1463.61
3,1,1000,h,1511.99
3,1,1200,h,1569.26
3,1,1400,h,1645.9
3,1,1600,h,1671.06
3,1,1800,h,1670.82
3,1,2000,h,1679.21
3,1,2200,h,1706.89
3,1,2400,h,1787.93
3,1,2600,h,1837.09
3,1,2800,h,1818.2
3,1,3000,h,1490.61
3,1,3200,h,1449.04
3,1,3400,h,1180.75
3,1,3600,h,1416.94
3,1,3800,h,1461.26
4,1,-500,h,1316.11
4,1,0,h,2000.1
4,1,200,h,1472.58
4,1,400,h,1553.48
4,1,600,h,1641.03
4,1,800,h,1828.71
4,1,1000,h,2050.65
4,1,1200,h,2233.87
4,1,1400,h,2275.09
4,1,1600,h,2033.44
4,1,1800,h,1857.78
4,1,2000,h,1918.58
4,1,2200,h,2093.69
4,1,2400,h,2170.75
4,1,2600,h,2204.83
4,1,2800,h,2318.9
4,1,3000,h,2262.67
4,1,3200,h,2170.9
4,1,3400,h,2161.1
4,1,3600,h,2199.76
4,1,3800,h,2182.04
5,1,-500,h,2087.82
5,1,0,h,2313.99
5,1,200,h,1946.43
5,1,400,h,2015.03
5,1,600,h,2184.91
5,1,800,h,2314.2
5,1,1000,h,2384.98
5,1,1200,h,2476.82
5,1,1400,h,2457.49
5,1,1600,h,2328.25
5,1,1800,h,2324.09
5,1,2000,h,2289.53
5,1,2200,h,2324.34
5,1,2400,h,2395.31
5,1,2600,h,2383.75
5,1,2800,h,2387.81
5,1,3000,h,2448.6
5,1,3200,h,2501.05
5,1,3400,h,2476.35
5,1,3600,h,2426.74
5,1,3800,h,2385.07
6,1,-500,h,1716.11
6,1,0,h,2398.44
6,1,200,h,2160.09
6,1,400,h,2186.23
6,1,600,h,2299.82
6,1,800,h,2318.86
6,1,1000,h,2498.07
6,1,1200,h,2680.71
6,1,1400,h,2636.99
6,1,1600,h,2615.67
6,1,1800,h,2433.99
6,1,2000,h,2407.93
6,1,2200,h,2424.86
6,1,2400,h,2490.09
6,1,2600,h,2578.08
6,1,2800,h,2665.75
6,1,3000,h,2778.7
6,1,3200,h,2582.33
6,1,3400,h,2307.42
6,1,3600,h,2245.5
6,1,3800,h,2241.59
8,1,-500,h,1911.99
8,1,0,h,2090.37
8,1,200,h,1808.4
8,1,400,h,1795.5
8,1,600,h,1814.81
8,1,800,h,1848.91
8,1,1000,h,1887.47
8,1,1200,h,1947.72
8,1,1400,h,2042.89
8,1,1600,h,2182.3
8,1,1800,h,2279.35
8,1,2000,h,2288.24
8,1,2200,h,2267.11
8,1,2400,h,2231.88
8,1,2600,h,2263.79
8,1,2800,h,2319.83
8,1,3000,h,2352.6
8,1,3200,h,2359.48
8,1,3400,h,2288.27
8,1,3600,h,1881.22
8,1,3800,h,2060.94
9,1,-500,h,1705.91
9,1,0,h,1655.43
9,1,200,h,1646.96
9,1,400,h,1645.17
9,1,600,h,1654.9
9,1,800,h,1687.59
9,1,1000,h,1757.34
9,1,1200,h,1837.5
9,1,1400,h,1788.27
9,1,1600,h,1623.77
9,1,1800,h,1566.05
9,1,2000,h,1623.37
9,1,2200,h,1645.57
9,1,2400,h,1639.85
9,1,2600,h,1659.58
9,1,2800,h,1670.7
9,1,3000,h,1610.95
9,1,3200,h,1609.06
